left2010,left2019,left2015,vote2010,vote2015,vote2019,male,age,education,unemployed,ideology,iv_immigration,iv_economy,imm_issue,eco_issue,right2010,right2015,right2019
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,1,1,NA
1,0,1,Liberal Democrat,Labour,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,0,0,1
0,0,0,Conservative,Conservative,Conservative,1,76,1,0,NA,1,NA,NA,0,1,1,1
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,1,1,NA
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,1,53,2,0,NA,1,NA,NA,0,NA,1,1
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
NA,1,1,NA,Liberal Democrat,Liberal Democrat,1,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
1,1,1,Liberal Democrat,Liberal Democrat,Labour,1,30,5,0,NA,0.5,NA,NA,0,0,0,0
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
NA,1,1,NA,Liberal Democrat,Labour,1,51,3,0,NA,0.75,NA,NA,0,NA,0,0
0,1,1,United Kingdom Independence Party (UKIP),Green Party,Labour,1,28,5,0,NA,0.5,NA,NA,0,1,0,0
NA,NA,1,NA,Labour,NA,0,29,2,0,NA,1,NA,NA,0,NA,0,NA
NA,1,0,NA,Conservative,Liberal Democrat,0,26,NA,0,NA,0.5,NA,NA,0,NA,1,0
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
1,0,0,Green Party,Conservative,Conservative,1,NA,NA,NA,NA,0.75,NA,NA,0,0,1,1
1,1,1,Liberal Democrat,Plaid Cymru,Labour,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,0
NA,0,0,NA,Conservative,Conservative,1,26,5,0,NA,0.5,NA,NA,0,NA,1,1
1,NA,1,Labour,Green Party,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
0,0,NA,Conservative,NA,Conservative,0,62,3,0,NA,1,NA,NA,0,1,NA,1
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,1,1,NA
NA,1,1,NA,Labour,Labour,0,27,5,0,NA,0.75,NA,NA,0,NA,0,0
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,1,79,1,0,NA,1,NA,NA,0,1,1,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
NA,1,1,NA,Liberal Democrat,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,0
1,NA,1,Labour,Labour,NA,1,71,1,0,NA,1,NA,NA,0,0,0,NA
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
NA,0,0,NA,Conservative,Conservative,1,26,6,0,NA,1,NA,NA,0,NA,1,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
0,NA,1,Conservative,Green Party,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,1,0,NA
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,NA,NA
1,1,1,Liberal Democrat,Liberal Democrat,Labour,1,NA,NA,NA,NA,0.75,NA,NA,0,0,0,0
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA
NA,0,0,NA,Conservative,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,NA,1,1
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,1,NA,NA
NA,1,1,NA,Labour,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,27,6,0,NA,0.25,NA,NA,0,0,0,0
1,1,1,Liberal Democrat,Labour,Labour,0,28,5,0,NA,0.5,NA,NA,0,0,0,0
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,NA,1,NA
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
1,NA,0,Labour,Conservative,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
1,0,0,Labour,Conservative,Conservative,0,55,1,0,NA,0.75,NA,NA,0,0,1,1
NA,1,NA,NA,NA,Liberal Democrat,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,0
NA,1,0,NA,Conservative,Green,0,NA,NA,NA,NA,1,NA,NA,0,NA,1,0
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
NA,1,1,NA,Labour,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,0
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
1,0,1,Labour,Labour,Conservative,1,NA,NA,NA,NA,1,NA,NA,0,0,0,1
1,NA,1,Labour,Labour,NA,1,42,5,0,NA,1,NA,NA,0,0,0,NA
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,NA,0,NA
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
1,1,1,Labour,Labour,Labour,0,62,2,0,NA,0.75,NA,NA,0,0,0,0
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,NA,0,NA,NA,0,0,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,1,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,1,1,NA
1,1,1,Liberal Democrat,Green Party,Liberal Democrat,1,71,2,0,NA,1,NA,NA,0,0,0,0
1,1,1,Green Party,Green Party,Labour,1,47,4,0,NA,0.75,NA,NA,0,0,0,0
NA,NA,NA,NA,NA,NA,1,21,3,0,NA,0.5,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,NA
1,NA,NA,Plaid Cymru,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA
1,0,1,Labour,Labour,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,0,0,1
0,NA,NA,Conservative,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,1,NA,NA
0,NA,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
0,1,1,Conservative,Labour,Labour,0,62,2,0,NA,1,NA,NA,0,1,0,0
1,1,0,Liberal Democrat,Conservative,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,0,1,0
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,NA,NA
1,1,0,Labour,United Kingdom Independence Party (UKIP),Labour,0,44,6,0,NA,0.5,NA,NA,0,0,1,0
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
0,NA,0,Conservative,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
1,NA,1,Liberal Democrat,Green Party,NA,0,NA,NA,NA,NA,0.25,NA,NA,0,0,0,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,73,1,0,NA,1,NA,NA,0,1,1,1
1,NA,NA,Liberal Democrat,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA
NA,NA,0,NA,Conservative,NA,0,69,1,0,NA,1,NA,NA,0,NA,1,NA
0,0,0,Conservative,Conservative,Conservative,0,69,1,0,NA,1,NA,NA,0,1,1,1
1,1,1,Liberal Democrat,Green Party,Labour,0,65,3,0,NA,0.5,NA,NA,0,0,0,0
0,NA,0,Conservative,Conservative,NA,0,74,1,0,NA,1,NA,NA,0,1,1,NA
1,1,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Labour,0,65,2,0,NA,1,NA,NA,0,0,1,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
1,NA,NA,Green Party,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,71,2,0,NA,1,NA,NA,0,1,1,1
NA,0,0,NA,Conservative,Conservative,1,NA,NA,NA,NA,1,NA,NA,0,NA,1,1
1,NA,0,Labour,British National Party (BNP),NA,1,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
0,0,0,Conservative,Conservative,Conservative,0,68,2,0,NA,1,NA,NA,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,73,1,0,NA,1,NA,NA,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,1,55,2,0,NA,1,NA,NA,0,1,1,1
1,NA,0,Liberal Democrat,Conservative,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,0,1,NA
1,NA,1,Liberal Democrat,Liberal Democrat,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,1,1,NA,Labour,Labour,0,NA,NA,NA,NA,1,NA,NA,0,NA,0,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,0.25,NA,NA,0,0,0,NA
1,1,1,Labour,Labour,Labour,0,64,5,0,NA,0.5,NA,NA,0,0,0,0
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
1,1,1,Labour,Labour,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,0,0,0
NA,1,0,NA,United Kingdom Independence Party (UKIP),Labour,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,1,0
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,NA,NA,NA,NA,0.75,NA,NA,0,0,0,0
1,1,1,Labour,Labour,Labour,0,71,1,0,NA,0.75,NA,NA,0,0,0,0
1,NA,0,Liberal Democrat,Conservative,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,0,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
1,1,1,Liberal Democrat,Labour,Labour,0,31,5,0,NA,0.75,NA,NA,0,0,0,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
1,1,1,Labour,Labour,Liberal Democrat,1,53,4,0,NA,0.75,NA,NA,0,0,0,0
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
1,NA,1,Labour,Liberal Democrat,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,0,NA,NA,NA,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,1
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,NA
0,NA,1,Conservative,Liberal Democrat,NA,0,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
1,0,NA,Labour,NA,Conservative,1,NA,NA,NA,NA,0.75,NA,NA,0,0,NA,1
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,NA,1,NA,NA,0,1,1,1
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,56,3,0,NA,1,NA,NA,0,1,1,1
1,1,1,Liberal Democrat,Labour,Labour,0,39,5,0,NA,0.5,NA,NA,0,0,0,0
NA,NA,1,NA,Liberal Democrat,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
0,NA,1,United Kingdom Independence Party (UKIP),Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,0,NA
1,NA,0,Labour,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
NA,NA,1,NA,Green Party,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
NA,NA,0,NA,Conservative,NA,0,25,6,0,NA,0.25,NA,NA,0,NA,1,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
1,1,1,Labour,Labour,Labour,0,36,5,0,NA,0.25,NA,NA,0,0,0,0
NA,NA,1,NA,Labour,NA,0,45,1,0,NA,1,NA,NA,0,NA,0,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,NA
NA,1,1,NA,Labour,Labour,0,NA,NA,NA,NA,1,NA,NA,0,NA,0,0
1,NA,NA,Liberal Democrat,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,1,1,NA
1,0,1,Labour,Labour,Conservative,1,71,1,0,NA,1,NA,NA,0,0,0,1
NA,0,0,NA,Conservative,Conservative,0,57,3,0,NA,1,NA,NA,0,NA,1,1
0,1,1,Conservative,Labour,Labour,1,34,5,0,NA,0.5,NA,NA,0,1,0,0
1,1,1,Labour,Labour,Labour,1,76,1,0,NA,0.75,NA,NA,0,0,0,0
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,0,47,1,0,NA,1,NA,NA,0,NA,1,1
0,0,0,United Kingdom Independence Party (UKIP),Conservative,Conservative,1,70,2,0,NA,1,NA,NA,0,1,1,1
0,0,0,Conservative,Conservative,Conservative,0,70,3,0,NA,0.75,NA,NA,0,1,1,1
NA,1,1,NA,Green Party,Labour,0,26,5,0,NA,1,NA,NA,0,NA,0,0
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,NA,1,NA,NA,0,1,1,1
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,0,27,5,1,NA,0.5,NA,NA,0,NA,NA,NA
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,1,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,1,1,NA
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,NA,1,NA,NA,0,0,1,1
NA,NA,NA,NA,NA,NA,1,60,3,0,NA,1,NA,NA,0,NA,NA,NA
0,NA,NA,Conservative,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,1,NA,NA
1,NA,NA,Labour,NA,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,0,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.25,NA,NA,0,NA,NA,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,1,1,NA
NA,1,1,NA,Green Party,Liberal Democrat,0,26,5,0,NA,0.5,NA,NA,0,NA,0,0
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,70,5,0,NA,1,NA,NA,0,1,1,1
NA,NA,NA,NA,NA,NA,0,23,5,1,NA,1,NA,NA,0,NA,NA,NA
NA,1,0,NA,Conservative,Liberal Democrat,1,25,6,0,NA,0.5,NA,NA,0,NA,1,0
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,1,NA
1,0,1,Liberal Democrat,Labour,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,0,0,1
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,0,57,5,0,NA,0.5,NA,NA,0,0,1,NA
NA,NA,0,NA,Conservative,NA,1,27,5,0,NA,1,NA,NA,0,NA,1,NA
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
NA,1,1,NA,Green Party,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,0
1,0,0,Labour,Conservative,Conservative,0,68,1,0,NA,1,NA,NA,0,0,1,1
0,0,0,Conservative,Conservative,Conservative,1,NA,NA,NA,NA,1,NA,NA,0,1,1,1
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
1,1,1,Liberal Democrat,Liberal Democrat,Liberal Democrat,1,59,5,0,NA,1,NA,NA,0,0,0,0
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,1,25,5,0,NA,1,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,0,28,4,1,NA,1,NA,NA,0,NA,NA,NA
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA
0,1,1,Conservative,Labour,Labour,1,32,5,1,NA,0.75,NA,NA,0,1,0,0
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
0,NA,1,Conservative,Liberal Democrat,NA,1,NA,NA,NA,NA,0,NA,NA,0,1,0,NA
1,1,1,Labour,Labour,Labour,0,67,2,0,NA,1,NA,NA,0,0,0,0
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
0,NA,1,British National Party (BNP),Labour,NA,1,58,2,0,NA,1,NA,NA,0,1,0,NA
0,NA,0,Conservative,Conservative,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,1,1,NA
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA
1,0,0,Labour,United Kingdom Independence Party (UKIP),Conservative,1,71,1,0,NA,1,NA,NA,0,0,1,1
NA,1,1,NA,Green Party,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,0
1,0,0,Liberal Democrat,United Kingdom Independence Party (UKIP),Conservative,1,NA,NA,NA,NA,1,NA,NA,0,0,1,1
NA,NA,1,NA,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
0,0,0,Conservative,United Kingdom Independence Party (UKIP),Conservative,1,73,2,0,NA,1,NA,NA,0,1,1,1
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,NA,0.75,NA,NA,0,1,1,1
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
1,NA,NA,Liberal Democrat,NA,NA,0,73,2,0,NA,0.75,NA,NA,0,0,NA,NA
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,1,NA
NA,NA,1,NA,Labour,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,NA,0,NA
0,NA,1,Conservative,Green Party,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,1,0,NA
1,0,1,Labour,Labour,Conservative,0,53,3,0,NA,1,NA,NA,0,0,0,1
0,0,0,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP),Conservative,0,NA,NA,NA,NA,0.75,NA,NA,0,1,1,1
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
1,0,1,Liberal Democrat,Labour,Conservative,0,74,2,0,NA,1,NA,NA,0,0,0,1
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.25,NA,NA,0,NA,NA,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,1,55,1,0,NA,0.75,NA,NA,0,1,1,1
NA,NA,1,NA,Green Party,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA
1,NA,1,Liberal Democrat,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
0,0,0,Conservative,Conservative,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,1,1,1
1,NA,1,Liberal Democrat,Liberal Democrat,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,1,NA,NA,0,1,1,NA
NA,NA,0,NA,United Kingdom Independence Party (UKIP),NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
0,NA,NA,Conservative,NA,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,1,NA,NA
NA,NA,1,NA,Green Party,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,NA
1,1,NA,Liberal Democrat,NA,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,0,NA,0
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,0,0,NA
0,0,0,Conservative,Conservative,Conservative,0,27,5,0,NA,0.75,NA,NA,0,1,1,1
1,0,0,Labour,Conservative,Conservative,0,NA,NA,NA,NA,1,NA,NA,0,0,1,1
1,1,1,Labour,Labour,Labour,0,40,5,0,NA,0.5,NA,NA,0,0,0,0
1,NA,0,Liberal Democrat,United Kingdom Independence Party (UKIP),NA,1,NA,NA,NA,NA,1,NA,NA,0,0,1,NA
1,NA,1,Labour,Green Party,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA,NA
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
NA,0,0,NA,Conservative,Conservative,1,48,2,0,NA,0.75,NA,NA,0,NA,1,1
1,NA,1,Labour,Labour,NA,1,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
0,NA,0,Conservative,Conservative,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,1,1,NA
NA,1,0,NA,Conservative,Labour,0,24,6,0,NA,0,NA,NA,0,NA,1,0
1,NA,1,Liberal Democrat,Labour,NA,0,NA,NA,NA,NA,0.75,NA,NA,0,0,0,NA
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,0.5,NA,NA,0,NA,0,NA
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA
NA,1,NA,NA,NA,Liberal Democrat,0,26,5,0,NA,0.5,NA,NA,0,NA,NA,0
1,NA,1,Labour,Labour,NA,0,NA,NA,NA,NA,1,NA,NA,0,0,0,NA
NA,NA,1,NA,Green Party,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,0,NA
NA,0,0,NA,United Kingdom Independence Party (UKIP),Conservative,1,62,2,0,NA,0.75,NA,NA,0,NA,1,1
NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,NA,NA
1,1,1,Liberal Democrat,Labour,Labour,0,NA,NA,NA,NA,0.5,NA,NA,0,0,0,0
NA,1,1,NA,Labour,Labour,0,NA,NA,NA,NA,0.75,NA,NA,0,NA,0,0
NA,NA,0,NA,Conservative,NA,0,NA,NA,NA,NA,1,NA,NA,0,NA,1,NA
NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.75,NA,NA,0,NA,NA,NA
1,NA,1,Liberal Democrat,Green Party,NA,1,NA,NA,NA,NA,0.5,NA,NA,0,0,0,NA
NA,NA,0,NA,Conservative,NA,1,NA,NA,NA,NA,0.25,NA,NA,0,NA,1,NA
